iter	Passed	Remaining
0	158	637766
1	205	413706
2	252	338868
3	295	297304
4	339	272658
5	385	258182
6	429	246671
7	468	235367
8	505	225644
9	549	220670
10	586	214159
11	622	208305
12	669	206529
13	711	203885
14	752	201151
15	797	199893
16	835	197093
17	872	194354
18	913	192713
19	964	193181
20	1002	191121
21	1041	189511
22	1082	188364
23	1120	186913
24	1160	185673
25	1201	184908
26	1236	183201
27	1280	182791
28	1321	182089
29	1363	181670
30	1405	181161
31	1448	180780
32	1487	179950
33	1524	179045
34	1568	178807
35	1606	178063
36	1645	177377
37	1689	177278
38	1724	176336
39	1770	176403
40	1809	175902
41	1843	174893
42	1887	174818
43	1923	174041
44	1976	174883
45	2019	174687
46	2056	174103
47	2093	173488
48	2135	173346
49	2176	173092
50	2217	172834
51	2256	172472
52	2299	172376
53	2342	172290
54	2383	172060
55	2429	172260
56	2466	171766
57	2505	171418
58	2543	171040
59	2585	170902
60	2622	170448
61	2658	170001
62	2699	169829
63	2744	169891
64	2787	169866
65	2832	169943
66	2876	169945
67	2917	169798
68	2965	170084
69	3009	170095
70	3046	169685
71	3085	169435
72	3126	169326
73	3167	169157
74	3206	168933
75	3252	169056
76	3297	169089
77	3337	168916
78	3376	168704
79	3414	168434
80	3457	168396
81	3497	168238
82	3536	168010
83	3574	167762
84	3616	167676
85	3655	167453
86	3695	167316
87	3735	167161
88	3774	166978
89	3814	166838
90	3857	166814
91	3898	166723
92	3948	166986
93	3989	166890
94	4027	166666
95	4069	166589
96	4110	166487
97	4149	166331
98	4189	166177
99	4228	166028
100	4272	166024
101	4310	165808
102	4345	165493
103	4384	165347
104	4422	165136
105	4460	164962
106	4499	164806
107	4536	164580
108	4571	164273
109	4610	164135
110	4650	164028
111	4689	163872
112	4729	163767
113	4765	163520
114	4804	163393
115	4844	163284
116	4881	163095
117	4924	163104
118	4970	163206
119	5005	162933
120	5043	162759
121	5083	162677
122	5117	162397
123	5157	162305
124	5200	162309
125	5239	162167
126	5273	161915
127	5313	161817
128	5356	161802
129	5397	161769
130	5438	161701
131	5473	161453
132	5511	161332
133	5552	161268
134	5592	161201
135	5633	161142
136	5674	161072
137	5712	160941
138	5752	160850
139	5792	160779
140	5836	160818
141	5875	160710
142	5914	160604
143	5959	160667
144	5998	160562
145	6039	160512
146	6076	160335
147	6118	160311
148	6155	160173
149	6189	159944
150	6228	159834
151	6268	159769
152	6304	159585
153	6344	159510
154	6378	159287
